what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568734231838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568734265039
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568734265915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568734290820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568740083174
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740095068
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740095115
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1568740097928
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1568740098380
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1568740148488
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740172705
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1568740191408
error,log,,,"LinkBEEParentPom does not exist",1568740191580
error,log,,,"LinkBEEParentPom does not exist",1568740191596
error,log,,,"LinkBEEParentPom does not exist",1568740191596
error,log,,,"LinkBEEParentPom does not exist",1568740191596
error,log,,,"LinkBEEParentPom does not exist",1568740191611
error,log,,,"LinkBEEParentPom does not exist",1568740191611
error,log,,,"LinkBEEParentPom does not exist",1568740191611
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740191674
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740191705
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740195788
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1568740195794
