what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1568812166994
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1568812166995
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1568812166996
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1568812166998
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1568812166998
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1568812167001
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1568812167002
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1568812167004
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1568812167006
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1568812167007
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1568812167011
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1568812167013
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1568812167014
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1568812167014
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110819-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1568812167017
os,sysinfo,,,"win32",1568812167018
arch,sysinfo,,,"x86_64",1568812167018
ws,sysinfo,,,"win32",1568812167018
locale,sysinfo,,,"es_AR",1568812167018
processors,sysinfo,,,"8",1568812167018
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1568812167018
java.runtime.version,sysinfo,,,"1.8.0_211-b12",1568812167018
java.specification.name,sysinfo,,,"Java Platform API Specification",1568812167018
java.specification.vendor,sysinfo,,,"Oracle Corporation",1568812167018
java.specification.version,sysinfo,,,"1.8",1568812167018
java.vendor,sysinfo,,,"Oracle Corporation",1568812167018
java.version,sysinfo,,,"1.8.0_211",1568812167018
java.vm.info,sysinfo,,,"mixed mode",1568812167018
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1568812167018
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1568812167018
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1568812167018
java.vm.specification.version,sysinfo,,,"1.8",1568812167018
java.vm.vendor,sysinfo,,,"Oracle Corporation",1568812167018
java.vm.version,sysinfo,,,"25.211-b12",1568812167018
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1568812167037
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1568812167432
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1568812167448
started,bundle,org.eclipse.jst.j2ee.web,1.1.502.v201202090300,"org.eclipse.jst.j2ee.web",1568812168108
error,log,,,"Unable to update index for plugins-snapshots|http://artifactory.redlink.com.ar/artifactory/plugins-snapshots",1568812170816
error,log,,,"Unable to update index for plugins-releases|http://artifactory.redlink.com.ar/artifactory/plugins-releases",1568812170868
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1568812170881
error,log,,,"Unable to update index for central|http://artifactory.redlink.com.ar/artifactory/repo",1568812170927
error,log,,,"Unable to update index for libs-snapshots|http://artifactory.redlink.com.ar/artifactory/libs-snapshots",1568812170965
error,log,,,"Unable to update index for libs-releases|http://artifactory.redlink.com.ar/artifactory/libs-releases",1568812170994
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1568812171855
started,bundle,org.hibernate.eclipse.jdt.ui,3.2.4.Beta1-R200810311334,"org.hibernate.eclipse.jdt.ui",1568812182309
started,bundle,org.hibernate.eclipse,3.2.4.Beta1-R200810311334,"org.hibernate.eclipse",1568812182556
started,bundle,org.hibernate.eclipse.console,3.2.4.Beta1-R200810311334,"org.hibernate.eclipse.console",1568812182741
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1568812182752
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1568812182762
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1568812193331
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1568812211140
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1568812211149
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1568812211151
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1568812211177
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1568812211198
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1568812211203
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1568812211283
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1568812211358
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1568812211363
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1568812211373
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1568812219084
started,bundle,com.sysdeo.eclipse.tomcat,3.3.0,"com.sysdeo.eclipse.tomcat",1568812252373
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1568812253046
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1568812253320
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1568812253404
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1568812253861
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1568812254060
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1568812258745
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1568812258787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568812393384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568812394694
