what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816350601
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1568816357477
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1568816357477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816359589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816362106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.switchToEditor",1568816362116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816363140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816393616
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1568816393757
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1568816393788
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1568816393833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816396610
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816405553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816413744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816440755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568816443280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816446703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816448580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1568816470668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1568816485782
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568816486896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568816487128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1568816487443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1568816488763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1568816495379
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816542942
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816564898
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.AllMarkersView",1568816565794
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1568816565796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816567997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816581089
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1568816581188
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PropertiesFileEditor",1568816581214
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1568816581259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816582545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816588392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816609165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816624742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816628820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816634815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816642205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816643840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816646626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568816650779
