what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732054464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732058499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732059464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732063383
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732064899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732070166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732070921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732074563
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732075717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732079111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732081817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732083945
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732085417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732088839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732097084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732195600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732214404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732221681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732256031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732257229
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568732258196
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1568732284978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732295560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732301775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732303121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732304333
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568732488224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732503613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732536909
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732559813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732582798
executed,command,org.eclipse.team.svn.ui,0.7.9.I20110819-1700,"org.eclipse.team.svn.ui.command.ShareProjectsCommand",1568732582814
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1568732589016
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568732616969
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1568732628781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732664671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732707404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1568732730918
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1568732731137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732731653
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732745355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1568732752137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732752598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732795582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732803217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732808362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732813558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732931109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732932696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732939819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732940663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732942555
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1568732947522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568732948725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733144439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733194982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733203420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733228131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733250711
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733251528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733252247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733254011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733285151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1568733287042
